Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location
6850 Rutherford,22055673.,Homrich,12030.00,HHF,07/18/2016,No,7,Warren Ave Community,42.34214,-83.200753,"location
(42.34214, -83.200753)"
3625 E Nevada,13007905.,Salenbien Trucking & Excavating Inc.,31489.00,HHF,08/28/2017,No,3,Conant Gardens,42.426068,-83.066935,"location
(42.426068, -83.066935)"
13534 Cedargrove,21016407.,Homrich,12200.00,HHF,12/16/2015,No,4,Mapleridge,42.425146,-82.983234,"location
(42.425146, -82.983234)"
12241 Griggs,16041809.,Brown Environmental Construction,16000.00,Non-HHF,01/07/2015,No,7,Grand River-I96,42.378697,-83.162151,"location
(42.378697, -83.162151)"
13910 Saratoga,21019091.,Blue Star,14600.00,HHF,08/25/2015,No,3,Franklin,42.432137,-82.980445,"location
(42.432137, -82.980445)"
13907 Saratoga,21019156.,Timesavers Contracting,10608.00,HHF,11/14/2015,No,3,Franklin,42.432588,-82.980453,"location
(42.432588, -82.980453)"
13915 Saratoga,21019157.,Farrow Group,13085.00,HHF,12/08/2015,No,3,Franklin,42.432592,-82.980323,"location
(42.432592, -82.980323)"
13914 Eastwood,21019452.,Timesavers Contracting,22500.00,HHF,11/04/2015,No,3,Franklin,42.43297,-82.980304,"location
(42.43297, -82.980304)"
14000 Linnhurst,21018465.,"313 Construction, LLC",18205.49,HHF,07/27/2015,No,4,Mapleridge,42.431094,-82.979474,"location
(42.431094, -82.979474)"
14025 Linnhurst,21018520.,"313 Construction, LLC",17538.50,HHF,10/14/2015,No,4,Mapleridge,42.431528,-82.979025,"location
(42.431528, -82.979025)"
14055 Faircrest,21018804.,Rickman Enterprise Group,19450.00,HHF,08/02/2015,No,4,Mapleridge,42.43228,-82.978489,"location
(42.43228, -82.978489)"
14093 Saratoga,21019162.,Rickman Enterprise Group,14640.00,HHF,10/13/2015,No,4,Mapleridge,42.43303,-82.977846,"location
(42.43303, -82.977846)"
