Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
8722,Hope of Detroit Academy - Elementary,4443 North Campbell St,Detroit,MI,48210,454,0,0,82,Wayne RESA,82957,Hope of Detroit Academy,PSA School,Wayne,1224,Ferris State University,Leona Group,"KG,1,2,3,4,5,6,7,8,9,10","KG,1,2,3,4",1,0,0,"location
(42.3347800000001, -83.1169)"
8723,Old Redford Academy - Elem/Middle,17195 Redford St,Detroit,MI,48219,841,0,0,82,Wayne RESA,82956,Old Redford Academy,PSA School,Wayne,5017,Central Michigan University,Innovative Teaching Solutions,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,0,0,"location
(42.4154598000001, -83.259731597)"
8743,Oakland International Academy - K-1,6111 Miller St,Detroit,MI,48211,117,0,0,82,Wayne RESA,63912,Oakland International Academy,PSA School,Wayne,4884,Saginaw Valley State University,Education Management & Networks (EMAN),"KG,1","KG,1",1,0,0,"location
(42.3908200000001, -83.03971)"
8925,Eastside Detroit Lions Academy,10101 East Canfield St,Detroit,MI,48214,0,97,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"6,7,8","6,7,8",0,1,0,"location
(42.3789, -82.99362)"
8929,Detroit City West Side Academy for Leadership Development,4701 Mckinley,Detroit,MI,48208,0,0,484,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.34263, -83.10322)"
8934,Warrendale Charter Academy,19400 Sawyer St,Detroit,MI,48228,505,209,0,82,Wayne RESA,82970,Warrendale Charter Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.347662799, -83.2303557229999)"
8945,Detroit Academy of Arts and Sciences Middle School,2985 E Jefferson Ave,Detroit,MI,48207,0,397,0,82,Wayne RESA,82929,Detroit Academy of Arts and Sciences,PSA School,Wayne,5318,Oakland University,Self-managed,"6,7,8","6,7,8",0,1,0,"location
(42.3405300000001, -83.0184)"
8951,"Field, Moses",1100 Sheridan St,Detroit,MI,48214,50,47,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3526400000001, -83.00154)"
9102,Detroit Merit Charter Academy,1091 Alter Rd,Detroit,MI,48215,529,228,0,82,Wayne RESA,82974,Detroit Merit Charter Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3759600000001, -82.9408799999999)"
9121,Fisher Magnet Lower Academy,15510 East State Fair St,Detroit,MI,48205,549,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4","KG,1,2,3,4",1,0,0,"location
(42.4421300000001, -82.96189)"
